instance,energy,resources,congestion,time,num_nodes,timeout,cg_broke,gap
1,244.75,86.0,0.49166666666666664,0.166200493,1,false,false,NaN
2,518.9166666666666,273.0,0.6333333333333333,3.315184542,17,false,false,0.0
3,563.6666666666666,344.0,0.8833333333333333,2.729444049,33,false,false,0.0
4,818.1111111111111,446.0,0.8833333333333333,27.288347046,111,false,false,0.004523684720719748
5,841.9269005847954,560.0,0.8833333333333333,11.597426896,51,false,false,9.452220418406295e-16
6,976.3352339181287,894.0,0.8732394366197183,199.664514942,451,false,false,0.004769393881110146
7,1023.1102339181286,972.0,0.852112676056338,63.276658616,175,false,false,0.006076353116339872
