instance,energy,resources,congestion,time,num_nodes
1,264.0625,171.0,0.49166666666666664,5.678356169,1
2,534.4471153846155,277.0,0.49166666666666664,3.291400666,3
3,581.4783653846154,340.0,0.7416666666666667,0.688492558,4
4,624.6033653846154,475.0,0.9833333333333333,3.746549442,15
5,828.5096153846154,500.0,0.9833333333333333,196.389360587,559
6,865.2403846153846,601.0,0.9833333333333333,160.329651279,383
7,960.7959401709402,834.0,0.9833333333333333,315.904234356,557
8,991.4209401709402,1007.0,0.9833333333333333,310.833931712,563
9,1077.4597069597069,1071.0,0.9833333333333333,894.745015536,1045
