instance,energy,resouces,congestion,time,num_nodes
1,244.75,86.0,0.49166666666666664,5.307750095,1
2,518.9166666666666,273.0,0.6333333333333333,3.147510458,9
3,563.6666666666666,344.0,0.8833333333333333,3.176833836,27
4,818.1111111111111,446.0,0.8833333333333333,5.058700205,51
5,841.9269005847954,584.0,0.8833333333333333,8.273708455,51
6,976.3352339181287,894.0,0.8732394366197183,110.437719351,373
7,1023.1102339181286,972.0,0.852112676056338,51.755889588,181
