instance,energy,resources,congestion,time,num_nodes,timeout,cg_broke,gap
2,518.9166666666667,262.0,0.625,3.804077126,3,false,false,0.019649582446373017
3,563.6666666666667,357.0,0.8833333333333333,0.194754631,3,false,false,0.24246877296105807
4,818.1111111111111,459.0,0.8833333333333333,6.50884039,39,false,false,0.008215801725318035
5,841.9269005847954,560.0,0.8833333333333333,3.683398258,29,false,false,0.1333124853307387
6,976.3352339181287,894.0,0.8732394366197183,47.096635681,151,false,false,0.001877420083491686
7,1023.1102339181286,962.0,0.8309859154929577,71.306380165,245,false,false,0.018193970130136544
