instance,energy,resources,congestion,time,num_nodes,timeout,cg_broke
1,244.75,86.0,0.49166666666666664,0.153119205,1,false,false
2,518.9166666666666,273.0,0.6333333333333333,2.720140168,9,false,false
3,563.6666666666666,344.0,0.8833333333333333,2.780105439,27,false,false
4,818.1111111111111,446.0,0.8833333333333333,4.352580162,47,false,false
5,841.9269005847954,584.0,0.8833333333333333,7.055573018,51,false,false
