instance,energy,resources,congestion,time,num_nodes,timeout,cg_broke,gap
1,616.85,169.0,0.20930232558139536,0.322037482,9,false,false,-0.28180574555403565
2,649.35,356.0,0.45070422535211263,0.978456873,30,false,false,-0.08331343996180487
3,914.1,500.0,0.45070422535211263,10.075063483,253,false,false,0.003733505269171799
4,1744.6666666666667,594.0,0.49166666666666664,111.930727455,1543,false,false,1.129040364025583e-16
5,1388.482456140351,763.0,0.49166666666666664,165.776738418,1734,false,false,6.065317739618622e-12
