instance,energy,resources,congestion,time,num_nodes,timeout,cg_broke,gap
1,616.85,169.0,0.20930232558139536,0.680930073,13,false,false,-0.28180574555403565
2,869.35,388.0,0.355,11.69074612,73,false,false,0.0
3,1294.1,484.0,0.39166666666666666,31.122607758,207,false,false,-1.8424977855481316e-15
