instance,energy,resources,congestion,time,num_nodes,timeout,cg_broke
1,244.75,86.0,0.49166666666666664,0.005321131,1,false,false
2,518.9166666666667,262.0,0.625,2.628016923,9,false,false
3,563.6666666666666,344.0,0.8833333333333333,0.280167479,11,false,false
4,818.1111111111111,446.0,0.8833333333333333,0.352869024,11,false,false
5,841.9269005847954,560.0,0.8833333333333333,0.662013287,17,false,false
