instance,energy,resources,congestion,time,num_nodes,timeout,cg_broke
1,227.5,56.0,0.25,0.056861827,1,false,true
2,483.1818181818182,133.0,0.39166666666666666,0.138534953,1,false,true
3,715.4734848484849,191.0,0.39166666666666666,0.199122195,1,false,true
4,966.050407925408,311.0,0.5,0.263440233,1,false,true
