instance,energy,resources,congestion,time,num_nodes,timeout,cg_broke,gap
1,244.75,86.0,0.49166666666666664,0.006679539,1,false,false,NaN
2,518.9166666666667,262.0,0.625,2.60744882,9,false,false,0.0
3,563.6666666666666,344.0,0.8833333333333333,0.275255993,11,false,false,0.0
4,818.1111111111111,446.0,0.8833333333333333,0.346784115,11,false,false,0.0
5,841.9269005847954,560.0,0.8833333333333333,0.657163488,17,false,false,0.0
6,1233.8019005847952,751.0,0.8833333333333333,0.632955897,13,false,false,0.00947759323810176
7,1501.9269005847952,865.0,0.9,1.954325142,37,false,false,0.009691711967847069
8,1730.9653621232567,930.0,0.9,2.107108036,37,false,false,0.009008232273841692
