instance,energy,resrouces,congestion,time,num_nodes
1,244.75,86.0,0.49166666666666664,6.094733574,1
2,518.9166666666667,262.0,0.625,7.049960213,9
3,563.6666666666666,344.0,0.8833333333333333,7.412326485,11
4,838.1111111111111,446.0,0.8833333333333333,10.345639481,11
5,841.9269005847954,560.0,0.8833333333333333,25.549234666,17
6,1233.8019005847952,751.0,0.8833333333333333,73.619023813,57
7,1494.8435672514618,865.0,0.9,119.859379177,85
