instance,energy,resources,congestion,time,num_nodes,timeout,cg_broke,gap
1,244.75,86.0,0.49166666666666664,0.051396156,1,false,false,NaN
2,518.9166666666667,262.0,0.625,3.540166343,3,false,false,0.019649582446373017
3,563.6666666666667,357.0,0.8833333333333333,0.172606901,3,false,false,0.24246877296105807
4,818.1111111111111,459.0,0.8833333333333333,6.040090311,39,false,false,0.007332161897554777
5,841.9269005847954,560.0,0.8833333333333333,4.56485586,35,false,false,0.1333124853307387
6,976.3352339181287,894.0,0.8732394366197183,39.70770201,155,false,false,0.02738405796482741
7,1023.1102339181286,972.0,0.852112676056338,51.90780561,127,false,false,0.0036992192800003624
