instance,energy,resources,congestion,time,num_nodes,timeout,cg_broke,gap
1,227.5,56.0,0.25,0.138856775,1,false,false,NaN
2,483.1818181818182,133.0,0.39166666666666666,3.608323526,9,false,false,0.0
3,715.4734848484849,191.0,0.39166666666666666,302.802812667,183,false,false,0.0037863939739590236
